# File Name: Hebrew_Lexicon_Tyndale.txt
# File Size: 4349020     
# File Date: 06/01/2026 18:30:14
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Hebrew Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Abridged BDB by https://onlinebible.net, edited by Tyndale House Cambridge
# Source Definitions Copyright: Larry Pierce, larrypierce@alumni.uwaterloo.ca
# Source Definitions Copyright: Explicit usage permission required to use definition in your application
# Source Definitions Copyright: Larry Pierce granted permission for Nainoia Inc applications on 3/11/2019
#
# COLUMNS
#	STRONGS	Extended Strong Numbers
#	WORD	Hebrew form	based on BDB, then normalised
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Part of speech / grammer
#	DEF		Definitions are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
9		אֲבֵדָה	a.ve.dah	something lost	H:N-F	a lost thing, something lost
10		אֲבַדּוֹן	a.vad.don	destruction	H:N-F	a perishing
11		אֲבַדּוֹן	a.vad.don	Abaddon	N:N--L	Abaddon, a place of destruction, destruction, ruin
12		אַבְדָ֑ן	av.dan	destruction	H:N-M	destruction
13		אׇבְדַן	ov.dan	destruction	H:N-M	destruction
14		אָבָה	a.vah	be willing	H:V	 to be willing, consent 1a) (Qal) 1a1) to be willing 1a2) to consent, yield to, accept 1a3) to desire
15		אָבִי	a.veh	oh that!	H:N-F	entreat, longing, desire
16		אֵ֫בֶה	e.veh	papyrus	H:N-M	reed, papyrus
17		אֲבוֹי	a.voy	pain!	H:Intj	Oh, Woe, (exclamation of pain - indicates desire or uneasiness)
18		אֵבוּס	e.vus	crib	H:N-M	crib, manger, feeding trough
19		אִבְחָה	iv.chah	slaughter	H:N-F	slaughter, flesh, meat, slaughtered meat
20		אֲבַטִּחִים	a.vat.ti.ach	melon	H:N-M	watermelon, Egyptian fruit
21		אֲבִי	a.vi	Abi	N:N-F-P	A woman living at the time of Divided Monarchy, first mentioned at 2Ki.18.2; daughter of: Zechariah (<a href='/Strongs/strongs-h2148C' onclick='return ABMM("/Strongs","/strongs-h2148C");'>h2148C</a>); married to Ahaz (<a href='/Strongs/strongs-h271' onclick='return ABMM("/Strongs","/strongs-h271");'>h271</a>); mother of: Hezekiah (<a href='/Strongs/strongs-h2396' onclick='return ABMM("/Strongs","/strongs-h2396");'>h2396</a>); also called Abijah at 2Ch.29.1; Also named: <i>a.viy.yah</i> (אֲבִיָּה "Abijah" <a href='/Strongs/strongs-h29N' onclick='return ABMM("/Strongs","/strongs-h29N");'>h29N</a>) § Abi = "my father" mother of Hezekiah (cf <a href='/Strongs/strongs-h29' onclick='return ABMM("/Strongs","/strongs-h29");'>h29</a>)
22G		אֲבִיאֵל	a.vi.el	Abiel	N:N-M-P	Abiel = "El (God) is (my) father" Saul's grandfather, a man of the tribe of Benjamin living at the time of United Monarchy, first mentioned at 1Sa.9.1; son of: Zeror (<a href='/Strongs/strongs-h6872C' onclick='return ABMM("/Strongs","/strongs-h6872C");'>h6872C</a>); married to Maacah (<a href='/Strongs/strongs-h4601N' onclick='return ABMM("/Strongs","/strongs-h4601N");'>h4601N</a>); father of: Kish (<a href='/Strongs/strongs-h7027' onclick='return ABMM("/Strongs","/strongs-h7027");'>h7027</a>), Ner (<a href='/Strongs/strongs-h5369' onclick='return ABMM("/Strongs","/strongs-h5369");'>h5369</a>), Abdon (<a href='/Strongs/strongs-h5658J' onclick='return ABMM("/Strongs","/strongs-h5658J");'>h5658J</a>), Zur (<a href='/Strongs/strongs-h6698I' onclick='return ABMM("/Strongs","/strongs-h6698I");'>h6698I</a>), Baal (<a href='/Strongs/strongs-h1168B' onclick='return ABMM("/Strongs","/strongs-h1168B");'>h1168B</a>), Nadab (<a href='/Strongs/strongs-h5070J' onclick='return ABMM("/Strongs","/strongs-h5070J");'>h5070J</a>), Gedor (<a href='/Strongs/strongs-h1446I' onclick='return ABMM("/Strongs","/strongs-h1446I");'>h1446I</a>), Ahio (<a href='/Strongs/strongs-h283I' onclick='return ABMM("/Strongs","/strongs-h283I");'>h283I</a>), Zecher (<a href='/Strongs/strongs-h2144' onclick='return ABMM("/Strongs","/strongs-h2144");'>h2144</a>) and Mikloth (<a href='/Strongs/strongs-h4732' onclick='return ABMM("/Strongs","/strongs-h4732");'>h4732</a>); also called Jeiel (Ketiv: Jeuel; KJV: Jehiel) at 1Ch.9.35; Ner at 1Ch.8.33; 9.39;
22H	a Name of <a href='/Strongs/strongs-h45' onclick='return ABMM("/Strongs","/strongs-h45");'>h45</a>	אֲבִיאֵל	a.vi.el	Abiel	N:N-M-P	Abiel, a man living at the time of United Monarchy, first mentioned at 2Sa.23.31 Another name of <i>a.vi-al.von</i> (אֲבִי־עַלְבוֹן "Abi-albon" <a href='/Strongs/strongs-h45' onclick='return ABMM("/Strongs","/strongs-h45");'>h45</a>) § Abiel = "El (God) is (my) father" Saul's grandfather
23	a Name of <a href='/Strongs/strongs-h43' onclick='return ABMM("/Strongs","/strongs-h43");'>h43</a>	אֲבִיאָסָף	a.vi.a.saph	Abiasaph	N:N-M-P	A man of the tribe of Levi living at the time of Egypt and Wilderness, first mentioned at Exo.6.24; son of: Korah (<a href='/Strongs/strongs-h7141I' onclick='return ABMM("/Strongs","/strongs-h7141I");'>h7141I</a>); brother of: Assir (<a href='/Strongs/strongs-h617' onclick='return ABMM("/Strongs","/strongs-h617");'>h617</a>) and Elkanah (<a href='/Strongs/strongs-h511' onclick='return ABMM("/Strongs","/strongs-h511");'>h511</a>); father of: Assir (<a href='/Strongs/strongs-h617H' onclick='return ABMM("/Strongs","/strongs-h617H");'>h617H</a>) and Kore (<a href='/Strongs/strongs-h6981' onclick='return ABMM("/Strongs","/strongs-h6981");'>h6981</a>); also called Abiasaph at Exo.6.24; Asaph at 1Ch.26.1; Another name of <i>ev.ya.saph</i> (אֶבְיָסָף, אֲבִיאָסָף "Ebiasaph" <a href='/Strongs/strongs-h43' onclick='return ABMM("/Strongs","/strongs-h43");'>h43</a>) § Abiasaph = "my father has gathered" son (descendant) of Korah
24		אָבִיב	a.viv	Abib	H:N-M/N:N--T	Month of exodus and passover (March or April) Also named: <i>ni.san</i> (נִיסָן "Nisan" <a href='/Strongs/strongs-h5212' onclick='return ABMM("/Strongs","/strongs-h5212");'>h5212</a>) This name means fresh, young barley ears, barley
25	combination of <a href='/Strongs/strongs-h22G' onclick='return ABMM("/Strongs","/strongs-h22G");'>h22G</a>	אֲבִי גִבְעוֹן	a.vi giv.on	Abi-gibeon	N:N-M-P	Abi Gibon = "father of Gibeon" site of great Bamah, location of the tabernacle of the Lord in the high place
26G		אֲבִיגַ֫יִל, אֲבִיגַ֫ל	a.vi.ga.yil	Abigail	N:N-F-P	A woman living at the time of United Monarchy, first mentioned at 1Sa.25.3; married to David (<a href='/Strongs/strongs-h1732' onclick='return ABMM("/Strongs","/strongs-h1732");'>h1732</a>) and Nabal (<a href='/Strongs/strongs-h5037' onclick='return ABMM("/Strongs","/strongs-h5037");'>h5037</a>); mother of: Chileab (<a href='/Strongs/strongs-h3609' onclick='return ABMM("/Strongs","/strongs-h3609");'>h3609</a>) § Abigail = "my father is joy" wife of Nabal, then of David
26H		אֲבִיגַ֫יִל, אֲבִיגַ֫ל	a.vi.ga.yil	Abigail	N:N-F-P	A woman living at the time of United Monarchy, first mentioned at 2Sa.17.25; daughter of: Nahash (<a href='/Strongs/strongs-h5176I' onclick='return ABMM("/Strongs","/strongs-h5176I");'>h5176I</a>) and Nahash (<a href='/Strongs/strongs-h5176I' onclick='return ABMM("/Strongs","/strongs-h5176I");'>h5176I</a>); sister of: David (<a href='/Strongs/strongs-h1732' onclick='return ABMM("/Strongs","/strongs-h1732");'>h1732</a>), Eliab (<a href='/Strongs/strongs-h446I' onclick='return ABMM("/Strongs","/strongs-h446I");'>h446I</a>), Abinadab (<a href='/Strongs/strongs-h41I' onclick='return ABMM("/Strongs","/strongs-h41I");'>h41I</a>), Shimeah (<a href='/Strongs/strongs-h8093' onclick='return ABMM("/Strongs","/strongs-h8093");'>h8093</a>), Nethanel (<a href='/Strongs/strongs-h5417H' onclick='return ABMM("/Strongs","/strongs-h5417H");'>h5417H</a>), Raddai (<a href='/Strongs/strongs-h7288' onclick='return ABMM("/Strongs","/strongs-h7288");'>h7288</a>), Ozem (<a href='/Strongs/strongs-h684' onclick='return ABMM("/Strongs","/strongs-h684");'>h684</a>), Zeruiah (<a href='/Strongs/strongs-h6870' onclick='return ABMM("/Strongs","/strongs-h6870");'>h6870</a>), Abigail (<a href='/Strongs/strongs-h26H' onclick='return ABMM("/Strongs","/strongs-h26H");'>h26H</a>) and Elihu (<a href='/Strongs/strongs-h453J' onclick='return ABMM("/Strongs","/strongs-h453J");'>h453J</a>); married to Jether (<a href='/Strongs/strongs-h3500H' onclick='return ABMM("/Strongs","/strongs-h3500H");'>h3500H</a>); mother of: Amasa (<a href='/Strongs/strongs-h6021' onclick='return ABMM("/Strongs","/strongs-h6021");'>h6021</a>) § Abigail = "my father is joy" sister of David
27		אֲבִידָן	a.vi.dan	Abidan	N:N-M-P	A man living at the time of Egypt and Wilderness, first mentioned at Num.1.11; son of: Gideoni (<a href='/Strongs/strongs-h1441' onclick='return ABMM("/Strongs","/strongs-h1441");'>h1441</a>) § Abidan = "my father is judge" a prince (ruler) of Benjamin
28		אֲבִידָע	a.vi.da	Abida	N:N-M-P	A man of the Midianites living at the time of the Patriarchs, first mentioned at Gen.25.4; son of: Midian (<a href='/Strongs/strongs-h4080' onclick='return ABMM("/Strongs","/strongs-h4080");'>h4080</a>); brother of: Ephah (<a href='/Strongs/strongs-h5891' onclick='return ABMM("/Strongs","/strongs-h5891");'>h5891</a>), Epher (<a href='/Strongs/strongs-h6081' onclick='return ABMM("/Strongs","/strongs-h6081");'>h6081</a>), Hanoch (<a href='/Strongs/strongs-h2585I' onclick='return ABMM("/Strongs","/strongs-h2585I");'>h2585I</a>) and Eldaah (<a href='/Strongs/strongs-h420' onclick='return ABMM("/Strongs","/strongs-h420");'>h420</a>) § Abida or Abidah = "my father knows" fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)
29G		אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A man of the tribe of Levi living at the time of United Monarchy, first mentioned at 1Sa.8.2; son of: Samuel (<a href='/Strongs/strongs-h8050' onclick='return ABMM("/Strongs","/strongs-h8050");'>h8050</a>); brother of: Joel (<a href='/Strongs/strongs-h3100' onclick='return ABMM("/Strongs","/strongs-h3100");'>h3100</a>) § Abia or Abiah or Abijah = "Jehovah is (my) father" second son of Samuel
29H		אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A man of the Kingdom of Israel, living at the time of Divided Monarchy, only mentioned at 1Ki.14.1; son of: Jeroboam (<a href='/Strongs/strongs-h3379' onclick='return ABMM("/Strongs","/strongs-h3379");'>h3379</a>); brother of: Nadab (<a href='/Strongs/strongs-h5070H' onclick='return ABMM("/Strongs","/strongs-h5070H");'>h5070H</a>) § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
29I		אֲבִיָּ֫הוּ, אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A king of the tribe of Judah living at the time of Divided Monarchy, first mentioned at 1Ki.14.31; son of: Rehoboam (<a href='/Strongs/strongs-h7346' onclick='return ABMM("/Strongs","/strongs-h7346");'>h7346</a>) and Maacah (<a href='/Strongs/strongs-h4601K' onclick='return ABMM("/Strongs","/strongs-h4601K");'>h4601K</a>); brother of: Attai (<a href='/Strongs/strongs-h6262I' onclick='return ABMM("/Strongs","/strongs-h6262I");'>h6262I</a>), Ziza (<a href='/Strongs/strongs-h2124H' onclick='return ABMM("/Strongs","/strongs-h2124H");'>h2124H</a>) and Shelomith (<a href='/Strongs/strongs-h8019' onclick='return ABMM("/Strongs","/strongs-h8019");'>h8019</a>); father of: Asa (<a href='/Strongs/strongs-h609' onclick='return ABMM("/Strongs","/strongs-h609");'>h609</a>); half-brother of: Jeush (<a href='/Strongs/strongs-h3266K' onclick='return ABMM("/Strongs","/strongs-h3266K");'>h3266K</a>), Shemariah (<a href='/Strongs/strongs-h8114H' onclick='return ABMM("/Strongs","/strongs-h8114H");'>h8114H</a>) and Zaham (<a href='/Strongs/strongs-h2093' onclick='return ABMM("/Strongs","/strongs-h2093");'>h2093</a>); also called Abijam (KJV: Abia) at 1Ki.14.31; 15.1,7,8; § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
29J		אֲבִיָּה	a.viy.yah	`his father`	N:N-M-P	A womanof the tribe of Judah living at the time of Egypt and Wilderness, only mentioned at 1Ch.2.24; married to Hezron (<a href='/Strongs/strongs-h2696H' onclick='return ABMM("/Strongs","/strongs-h2696H");'>h2696H</a>); mother of: Ashhur (<a href='/Strongs/strongs-h806' onclick='return ABMM("/Strongs","/strongs-h806");'>h806</a>); also translated "his father" (NIV: Abijah); § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
29K		אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A man of the tribe of Benjamin living at the time of Egypt and Wilderness, only mentioned at 1Ch.7.8; son of: Becher (<a href='/Strongs/strongs-h1071' onclick='return ABMM("/Strongs","/strongs-h1071");'>h1071</a>); brother of: Zemirah (<a href='/Strongs/strongs-h2160' onclick='return ABMM("/Strongs","/strongs-h2160");'>h2160</a>), Joash (<a href='/Strongs/strongs-h3135' onclick='return ABMM("/Strongs","/strongs-h3135");'>h3135</a>), Eliezer (<a href='/Strongs/strongs-h461I' onclick='return ABMM("/Strongs","/strongs-h461I");'>h461I</a>), Elioenai (<a href='/Strongs/strongs-h454I' onclick='return ABMM("/Strongs","/strongs-h454I");'>h454I</a>), Omri (<a href='/Strongs/strongs-h6018H' onclick='return ABMM("/Strongs","/strongs-h6018H");'>h6018H</a>), Jeremoth (<a href='/Strongs/strongs-h3406H' onclick='return ABMM("/Strongs","/strongs-h3406H");'>h3406H</a>), Anathoth (<a href='/Strongs/strongs-h6068H' onclick='return ABMM("/Strongs","/strongs-h6068H");'>h6068H</a>) and Alemeth (<a href='/Strongs/strongs-h5964H' onclick='return ABMM("/Strongs","/strongs-h5964H");'>h5964H</a>) § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
29L		אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A man living at the time of Divided Monarchy, first mentioned at 1Ch.24.10 Also named: <i>Abia</i> (Ἀβιά "Abijah" <a href='/Strongs/strongs-g7H' onclick='return ABMM("/Strongs","/strongs-g7H");'>g7H</a>) § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
29M		אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Neh.10.7 § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
29N	a Name of <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>	אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	A woman living at the time of Divided Monarchy, first mentioned at 2Ki.18.2; daughter of: Zechariah (<a href='/Strongs/strongs-h2148C' onclick='return ABMM("/Strongs","/strongs-h2148C");'>h2148C</a>); married to Ahaz (<a href='/Strongs/strongs-h271' onclick='return ABMM("/Strongs","/strongs-h271");'>h271</a>); mother of: Hezekiah (<a href='/Strongs/strongs-h2396' onclick='return ABMM("/Strongs","/strongs-h2396");'>h2396</a>); also called Abijah at 2Ch.29.1; Another name of <i>a.vi</i> (אֲבִי "Abi" <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>) § Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf <a href='/Strongs/strongs-h21' onclick='return ABMM("/Strongs","/strongs-h21");'>h21</a>)
30		אֲבִיהוּא	a.vi.hu	Abihu	N:N-M-P	A man of the tribe of Levi living at the time of Egypt and Wilderness, first mentioned at Exo.6.23; son of: Aaron (<a href='/Strongs/strongs-h175' onclick='return ABMM("/Strongs","/strongs-h175");'>h175</a>) and Elisheba (<a href='/Strongs/strongs-h472' onclick='return ABMM("/Strongs","/strongs-h472");'>h472</a>); brother of: Nadab (<a href='/Strongs/strongs-h5070' onclick='return ABMM("/Strongs","/strongs-h5070");'>h5070</a>), Eleazar (<a href='/Strongs/strongs-h499' onclick='return ABMM("/Strongs","/strongs-h499");'>h499</a>) and Ithamar (<a href='/Strongs/strongs-h385' onclick='return ABMM("/Strongs","/strongs-h385");'>h385</a>) § Abihu = "he is (my) father" a son of Aaron destroyed for sacrificing strange fire to God
31		אֲבִיהוּד	a.vi.hud	Abihud	N:N-M-P	A man of the tribe of Benjamin living at the time of Egypt and Wilderness, only mentioned at 1Ch.8.3; son of: Bela (<a href='/Strongs/strongs-h1106A' onclick='return ABMM("/Strongs","/strongs-h1106A");'>h1106A</a>); brother of: Ard (<a href='/Strongs/strongs-h714H' onclick='return ABMM("/Strongs","/strongs-h714H");'>h714H</a>), Naaman (<a href='/Strongs/strongs-h5283H' onclick='return ABMM("/Strongs","/strongs-h5283H");'>h5283H</a>), Ezbon (<a href='/Strongs/strongs-h675H' onclick='return ABMM("/Strongs","/strongs-h675H");'>h675H</a>), Uzzi (<a href='/Strongs/strongs-h5813I' onclick='return ABMM("/Strongs","/strongs-h5813I");'>h5813I</a>), Uzziel (<a href='/Strongs/strongs-h5816I' onclick='return ABMM("/Strongs","/strongs-h5816I");'>h5816I</a>), Jerimoth (<a href='/Strongs/strongs-h3406' onclick='return ABMM("/Strongs","/strongs-h3406");'>h3406</a>), Iri (<a href='/Strongs/strongs-h5901' onclick='return ABMM("/Strongs","/strongs-h5901");'>h5901</a>), Addar (<a href='/Strongs/strongs-h146H' onclick='return ABMM("/Strongs","/strongs-h146H");'>h146H</a>), Gera (<a href='/Strongs/strongs-h1617I' onclick='return ABMM("/Strongs","/strongs-h1617I");'>h1617I</a>), Abishua (<a href='/Strongs/strongs-h50H' onclick='return ABMM("/Strongs","/strongs-h50H");'>h50H</a>) and Ahoah (<a href='/Strongs/strongs-h265' onclick='return ABMM("/Strongs","/strongs-h265");'>h265</a>) § Abihud = "my father is majesty" son of Bela, a Benjamite
32G		אֲבִיחַ֫יִל	a.vi.ha.yil	Abihail	N:N-M-P	A man living at the time of Egypt and Wilderness, only mentioned at Num.3.35; father of: Zuriel (<a href='/Strongs/strongs-h6700' onclick='return ABMM("/Strongs","/strongs-h6700");'>h6700</a>) § Abihail = "my father is might" 1) a Levite in Moses's time 2) a Gadite 3) father of Esther 4) wife of Abishur 5) wife of Rehoboam
