# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 3873620     
# File Date: 06/01/2026 18:32:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS	Strong's number with extensions
#	WORD	Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#	STRONGU	Unified Strong's entry and explanation
#	DEF		Definition, lexical entry.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
2455G		Ἰούδας	Ioudas	Judas	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455H		Ἰούδας	Ioudas	Judas	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455I		Ἰούδας	Ioudas	Jude	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455J		Ἰούδας	Ioudas	Judah	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455K		Ἰούδας	Ioudas	Judas	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455L		Ἰούδας	Ioudas	Judas	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455M		Ἰούδας	Ioudas	Judas	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2455N	a Spelling of <a href='/Strongs/strongs-h3063G' onclick='return ABMM("/Strongs","/strongs-h3063G");'>h3063G</a>	Ἰούδας	Ioudas	Judah	N:N-M-P	<b>Ἰούδας</b>, -α dative -ᾳ, accusative -αν (so in LXX, and also rarely, Ἰουδά, indecl; cf. Thack, <i>Gr.</i>, 163) (Heb. יְהוּדָה) 1) <b>Judah, son of Jacob</b>: Mat.1:2-3, Luk.3:33; φυλή Ἰ, Rev.5:5 7:5; by meton, of the tribe, Heb.7:14; of its confines, γῆ Ἰ, Mat.2:6; πόλις Ἰ, Luk.1:39. 2) <b>Judah </b>(unknown): Luk.3:30. 3) <b>Judas Iscariot </b>(see: Ἰσκαριώτης): Mat.10:4, Mrk.3:19, Luk.6:16, Jhn.6:71 13:2, al. 4) <b>Judas, the Lord's brother </b>(see: ἀδελφός): Mat.13:55, Mrk.6:3 (prob.), Ju 1. 5) <b>Judas the Apostle, son of James </b>(see: Θαδδαῖος): Luk.6:16, Jhn.14:22, Act.1:13. 6) <b>Judas, of Damascus</b>: Act.9:11. 7) <b>Judas, surnamed Βαρσαββᾶς </b>(which see): Act.15:22, 27 15:32. 8) <b>Judas the Galilean</b>: Act.5:37 Ἰωδά (Rec. Ἰούδα) <b>Joda</b>: Luk.3:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2456		Ἰουλία	Ioulia	Julia	N:N-F-P	<b>Ἰουλία</b>, -ας, ἡ <b>Julia</b>: Rom.16:15. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2457		Ἰούλιος	Ioulios	Julius	N:N-M-P	<b>Ἰούλιος</b>, -ου, ὁ <b>Julius</b>: Act.27:1, 3. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2458		Ἰουνιᾶς	Iounias	Junia	N:N-F-P	<b>Ἰουνίας</b>, -α, ὁ (or Ἰουνία, -ας, ἡ, Junia; AV, H, mg.) <b>Junias</b>: Rom.16:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2459G		Ἰοῦστος	Ioustos	Justus	N:N-M-P	<b>Ἰοῦστος</b>, -ου, ὁ <b>Justus, the surname of, </b> 1) <b>Joseph Barsabbas</b>: Act.1:23. 2) <b>Titus, of Corinth</b>: Act.18:7. 3) <b>Jesus, a Christian of Rome</b>: Col.4:11. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2459H		Ἰοῦστος	Ioustos	Justus	N:N-M-P	<b>Ἰοῦστος</b>, -ου, ὁ <b>Justus, the surname of, </b> 1) <b>Joseph Barsabbas</b>: Act.1:23. 2) <b>Titus, of Corinth</b>: Act.18:7. 3) <b>Jesus, a Christian of Rome</b>: Col.4:11. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2459I	a Name of <a href='/Strongs/strongs-g2501M' onclick='return ABMM("/Strongs","/strongs-g2501M");'>g2501M</a>	Ἰοῦστος	Ioustos	Justus	N:N-M-P	<b>Ἰοῦστος</b>, -ου, ὁ <b>Justus, the surname of, </b> 1) <b>Joseph Barsabbas</b>: Act.1:23. 2) <b>Titus, of Corinth</b>: Act.18:7. 3) <b>Jesus, a Christian of Rome</b>: Col.4:11. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2460		ἱππεύς	hippeus	horseman	G:N-M	<b>ἱππεύς</b>, -έως (on accusative pl, -εῖς, ν. BI, § 8, 2; Thack, <i>Gr.</i>, 148), ὁ (ἵππος), [in LXX chiefly for פָּרָשׁ;] <b>a horseman</b>: Act.23:23, 32. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2461		ἱππικός	hippikos	horseman	G:A	<b>ἱππικός</b>, -ή, -όν (ἵππος), [in LXX: 1Ma.15:33, 3Ma.1:1 *;] <b>of a horse or of horsemen, equestrian</b>; as subst, τὸ ἱ (sc. στράτευμα), <b>cavalry</b>: Heb.9:16. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2462		ἵππος	hippos	horse	G:N-M	<b>ἵππος</b>, -ου, ὁ [in LXX chiefly for סוּס, sometimes for פָּרָשׁ, רֶכֶב;] <b>a horse</b>: Jas.3:3, Rev.6:2 ff. Rev.9:7 ff. Rev.14:20 18:13 19:11 ff, (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2463		ἶρις	iris	rainbow	G:N-F	<b>ἶρις</b>, -ιδος, ἡ [in LXX: Exo.30:24 (קִדָּה)*, (קֶשֶׁת, Gen.9:13, Eze.1:28, is rendered by τόξον);] 1) Iris, the messenger of the gods. 2) <b>a rain­bow or halo</b>: Rev.4:3 10:1. 3) The plant Iris (cf. Ex, l.with). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2464	the Greek of <a href='/Strongs/strongs-h3327' onclick='return ABMM("/Strongs","/strongs-h3327");'>h3327</a>	Ἰσαάκ	Isaak	Isaac	N:N-M-P	<b>Ἰσαάκ</b> (in MSS. sometimes -σάκ; cf. Deiss, BS, 189; Thack, <i>Gr.</i>, 100), ὁ indecl. (in FlJ, Ἴσακος, -ου), (Heb. יִצְחָק), Isaac (Gen.17:19, al.): Mat.1:2, Rom.9:10, al (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2465		ἰσάγγελος	isangelos	like an angel	G:A	<b>ἰσάγγελος -ον</b> (ἴσος, ἄγγελος), <b>like or equal to angels</b>: Luk.20:36. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2466	the Greek of <a href='/Strongs/strongs-h3485G' onclick='return ABMM("/Strongs","/strongs-h3485G");'>h3485G</a>	Ἰσαχάρ	Isachar	Issachar	N:N-M-P	<b>Ἰσσαχάρ</b> (Rec. Ἰσαχ, Ἰσασχ- (Elz.), T, -άχαρ), ὁ indecl. (FlJ, Ἰσάχαρις, Ἰσάσχ-) (Heb. יִשָּׂשכָר, Gen.30:18), <b>Issachar</b>: Rev.7:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2467	a Form of <a href='/Strongs/strongs-g1492H' onclick='return ABMM("/Strongs","/strongs-g1492H");'>g1492H</a>	ἴσημι	isēmi	to know	G:V	- to know, see, understand Occurs as Perfect with Present meaning
2468	a Form of <a href='/Strongs/strongs-g1510' onclick='return ABMM("/Strongs","/strongs-g1510");'>g1510</a>	ἴσθι	isthi	you should be	G:V	<b>εἰμί</b>, with various uses and significations, like the English verb <b>to be</b>. I. As substantive verb. 1) Of persons and things, <b>to be, exist</b>: Act.17:28, Jhn.1:1, 8:58, 17:5, al; ὁ ὢν καὶ ὁ ἦν (for past ptcp.), Rev.1:4, 8, 4:8, 11:17, 16:5 (see Swete, <i>Ap.</i>, 5; M, <i>Pr.</i>, 228); τὰ (μὴ) ὄντα, Rom.4:17, 1Co.1:28. 2) Of times, events, etc, <b>to be, happen, take place</b>: Mat.24:3, Mrk.14:2, 15:42, Luk.21:23, Jhn.4:6, 23, 5:10, al. 3) <b>to be present, be</b> in a place, <b>have come</b>: Mat.2:13, 15, Mrk.1:45, 5:21, 15:40, Luk.1:80, 5:29, Jhn.7:30, al; before εἰς, Mrk.2:1; before ἐκ, (ἐξ), Mat.1:20, 21:25, Mrk.11:30, Jhn.3:31, al. 4) Impers, ἔστι, ἦν, etc; (a) <b>there is</b> (Fr. <i>il y a</i>), <b>was</b>, etc: Mat.16:28, Luk.16:19, Jhn.3:1, 5:2, Rom.3:10, al; with dative (of the possessor; Bl, §37, 3), Mat.16:22, Luk.1:7, Jhn.18.10, Rom.9:2, al; ἔστιν ὅς, ὅστις (chiefly in pl), Mat.16:28, 19:2, Mrk.9:1, al; (b) with inf, = ἔξεστιν (which see), <b>it is possible</b>: Heb.9:5, 1Co.11:20, RV (but see <i>ICC</i>, in l.). II. As copula uniting subject and predicate. 1) <b>Expressing simply identity or equivalence</b>: Mat.5:13, 14:15, Luk.1:18, 19, Jhn.1:1, 4:19, Rev.3:9, al. mult. 2) Explicative, as in parable, figure, type, etc: Mat.13:19, 1Co.9:2, 10:4, 11:25, Gal.4:24, Rev.17:15, al; ταῦτ᾽ ἔστιν, Mat.27:46, Mrk.7:2, Rom.7:18 al; ὅ ἐστιν, Mrk.3:17, Col.1:24, Heb.7:2, al; akin to this is the sacramental usage: Mat.26:26-28, Mrk.14:22, 24, Luk.22:19, 1Co.11:24 (see <i>ICC</i> on Mk, I Co, ll. with; <i>DB</i>, iii, 148 f.). 3) C. genitive: qual, etc, Mrk.5:42, Luk.3:23, 1Co.14:33, Heb.12:11, al; part, 1Ti.1:20, 2Ti.1:15; poss, Mat.5:3, 10, Mrk.12:7, Luk.4:7; of service or partisanship, Rom.8:9, 1Co.1:12, 2Co.10:7, 2Ti.2:19. 4) C. dative (BL, §37, 3): Act.1:8, 9:15, Rom.4:12, 1Co.1:18, 2:14, Rev.21:7, al. 5) C. ptcp, as a periphrasis for the simple verb (Bl, §62, 1, 2; M, <i>Pr.</i>, 225 ff.); (a) with ptcp. pf. (cl.): Mat.10:30, Luk.9:32, Jhn.3:24, Act.21:35, 1Co.15:19, al; (b) with ptcp. pr. (esp. in impf, as in Heb. and Aram; Dalman, <i>Words</i>, 35 f.), Mat.7:29, Mrk.1:22, Luk.4:31, 14:1, Act.1:10, al. mult, id. for imper. (M, <i>Pr.</i>, 180f, 182f.), with ellipsis of εἰμί, Rom.12:9, 10, Heb.13:5, al; (with) with ptcp. aor. (cl), Luk.23:9. 6) Seq. εἰς (cf. Heb. הָיָה לְ), a vernac. usage (M, <i>Pr.</i>, 71): Mat.19:5, Mrk.10:8, Heb.8:10, al. 7) C. adv: Mat.19:20, Mrk.4:26, Luk.18:11, al. 8) <b>Ellipses</b>; (a) <b>of the copula </b>(Bl, §30, 3): Mat.8:29, 24:32, Jhn.21:22, 23, Heb.6:4, al; (b) <b>of the predicate</b>: ἐγώ εἰμί, Mat.14:27, Mrk.6:50, al; absol. (cf. Deu.32:39; אֲנִי הוּא), Mrk.13:6, Jhn.4:26, al. (cf. ἄπ, ἔν, πάρ, συμ-πάρ, σύν-ειμι). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2469	a Name of <a href='/Strongs/strongs-g2455H' onclick='return ABMM("/Strongs","/strongs-g2455H");'>g2455H</a>	Ἰσκαριώτης, Ἰσκαριώθ	Iskariōtēs, Iskariōth	Iscariot	N:N-M-P	<b>ἰσκαριώθ</b>, ὁ indecl. (Mrk.3:19 14:10, Luk.6:16, elsewhere -ιώτης; V. infr.) and Ἰσκαριώτης, -ου (Heb. prob. קִרְיָא אִישׁ; see Swete, <i>Mk.</i>, 319), <b>Iscariot</b>: surname of Judas, ll. with supr, also Mat.10:4 26:14, Mrk.14:43 (WH, R, omit), Luk.22:3, Jhn.12:4 13:2 14:22; of his father Simon, Jhn.6:71 13:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2470		ἴσος	isos	equal	G:A	<b>ἴσος</b> (epic ἶσος, so sometimes Rec.), -η, -ον, [in LXX for כְּ֜, Jb 5:14; Job.10:10, al; אֶחָד, Eze.40:5 ff; 2Ma.9:15, 4Ma.13:20-21, al;] equal, the same in size, number, quality, etc: δωρεά, Act.11:17; μαρτυρίαι, Mrk.14:56, 59; ἴ. ποιεῖν, with accusative and dative, Mat.20:12; ἑαυτὸν τ. θεῷ, Jhn.5:18; τὰ ἴ. ἀπολαβεῖν, Luk.6:34, n. pl, ἴσα, adverbially, Rev.21:16; τ. θεῷ, Php.2:6. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2471		ἰσότης	isotēs	equality	G:N-F	<b>ἰσότης</b>, -ητος, ἡ (ἴσος), [in LXX: Job.36:30, Zec.4:7 *;] 1) <b>equality</b>: 2Co.8:13-14. 2) <b>equity, fairness</b>: τὸ δίκαιον κ. τὴν ἰ, Col.4:1 (for dis­tinction bet. τὸ δ. and ἡ ἰ, see <i>ICC</i>, in l). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2472		ἰσότιμος	isotimos	equally valuable	G:A	<b>ἰσότιμος</b>, -ον (ἴσος, τιμή), <b>equally privileged, held in equal honour</b>: πίστις, 2Pe.1:1 (R, mg, equally precious, but v Field, <i>Notes</i>, 240; Mayor, in l). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2473		ἰσόψυχος	isopsuchos	like-minded	G:A	<b>ἰσόψυχος -ον</b> (ἴσος, ψυχή), [in LXX: Psa.55:13 (עֵרֶךְ)*;] 1) of equal spirit (Æsch, Agam, 1470). 2) <b>like-minded</b>: Php.2:20. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2474	the Greek of <a href='/Strongs/strongs-h3478' onclick='return ABMM("/Strongs","/strongs-h3478");'>h3478</a>	Ἰσραήλ	Israēl	Israel	N:N--L	<b>Ἰσραήλ</b> (FlJ, Ἰσράηλος, -ου), ὁ indecl. (Heb. יִשְׂרָאֵל, Gen.32:28), <b>Israel</b>: ὁ οἶκος Ἰ, Act.7:42 (LXX), al; λαός, Act.4:10; υὁοί, Act.5:21, al; αἱ φυλαὶ τοῦ Ἰ, Mat.19:28, al. By meton, for the Israelites, Mat.2:6, Luk.1:54, Rom.11:2, al; ὁ λαὸς Ἰ, Act.4:10; γῆ Ἰ, Mat.2:20-21; βασιλεὺς Ἰ, Mat.27:42, Jhn.1:50; ἡ ἐλπὶς τοῦ Ἰ, Act.28:20; ὁ Ἰ. τοῦ θεοῦ (of Christians), Gal.6:16; ὁ Ἰ. κατὰ σάρκα, 1Co.10:18 (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2475	a Group member of <a href='/Strongs/strongs-h3478' onclick='return ABMM("/Strongs","/strongs-h3478");'>h3478</a>	Ἰσραηλίτης	Israēlitēs	Israelite	N:N--PG	<b>Ἰσραηλείτης</b> (Rec. -λίτης), ου, ὁ [in LXX: Num.25:8 (יִשְׂרָאֵל), 3Ki.21:1 (יִזְרְעֵאלִי; Luc. Ἰεζραηλίτης), etc;] <b>an Israelite, the name expressive of theocratic privilege </b>(see: Ἑβραῖος): Rom.9:4 11:1, 2Co.11:22; ἀληθῶς Ἰ, Jhn.1:48; ἄνδρες Ἰ, Act.2:22 3:12 5:35 13:16 21:23. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2476		ἵστημι	histēmi	to stand	G:V	<b>ἵστημι</b>, and in late writers, also ἱστάνω (Veitch, see word; Bl, §23, 2; M, <i>Pr.</i>, 55), [in LXX chiefly for עמד, קוּם, also for נצב ni, hi, יצב hith, etc.]. I. Trans, in pres, impf, fut. and 1 aor. act. and in the tenses of the pass. 1) <b>to make to stand, to place, set, set up, establish, appoint</b>: with accusative of person(s), Mrk.7:9, Act.1:23 6:13 17:31, Heb.10:9; id. before ἐπί, with accusative loc, Mat.4:5, Luk.4:9; ἐν μέσῳ, Mat.18:2, Mrk.9:36, Jhn.8:[3]; ἐνώπιον, Act.6:6; παρ᾽ ἑαυτῷ, Luk.9:47; ἐκ δεξιῶν, Mat.25:33; mid, <b>to place oneself, to stand</b>: Rev.18:15; so also pass, <b>to be made to stand, to stand</b>: Mat.2:9, Luk.11:18 19:8, 2Co.13:1, al. 2) <b>to set in a balance, to weigh</b> (cl; LXX for שׁקל, Isa.46:6, al.): Mat.26:15, II. Intrans, in pf, plpf. (with sense of present and impf; M, <i>Pr.</i>, 147f.) and 2 aor. act, <b>to stand, stand by, stand still</b>: Mat.20:32 26:73, Mrk.10:49, Luk.8:44, Jhn.1:35 3:29, Act.16:9, al; before ἐν, Mat.6:5, al; ἐνώπιον, Act.10:30, al; πρός, with dative loc, Jhn.18:16; ἐπί, with genitive loc, Luk.6:17, Act.5:23 25:10, al; ἔμπροσθεν, Mat.27:11; κύκλῳ, Rev.7:11; ἐκ δεξιῶν, Luk.1:11; ἐπί, with accusative, Mat.13:2, Rev.3:20; παρά, Luk.5:2; ἐκεῖ, Mrk.11:5; ὧδε, Mrk.9:1; ὅπου, Mrk.13:14; ἔξω, Mat.12:46; μακρόθεν, Luk.18:13; πόρρωθεν, Luk.17:12. Metaphorical, <b>to stand ready, stand firm, be steadfast</b>: 1Co.7:37 10:12, Eph.6:11, 13 14, Col.4:12; τ. πίστει, Rom.11:20; ἐν τ. ἀληθείᾳ, Jhn.8:44; εν τ. χάριτι, Rom.5:2; ἐν τ. εὐαγγελίῳ, 1Co.15:1 (cf. ἀν, ἐπ-ἀν, ἐξ-ἀν, ἀνθ, ἀφ, δι, ἐν, ἐξ, ἐπ- (-μαι), ἐφ, κατ-ἐφ, συν-ἐφ, καθ, ἀντι-καθ, ἀπο-καθ, μεθ, παρ, περι, προ, συν-ίστημι). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2477		ἱστορέω	historeō	to get acquainted	G:V	<b>ἱστορέω</b>, -ῶ (ἵστωρ, one learned or skilled in) [in LXX: 1Es.1:33 Est.1:42 *;] 1) with accusative of thing(s), to inquire into, learn by inquiry. 2) C. accusative of person(s), to inquire of or about. 3) to narrate, record. 4) <b>In late writers, to visit, become acquainted with</b>: Gal.1:18 (see Ellic, in l, and cf. MM, <i>Exp.</i>, xv). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
